topic,word,n,tf,idf,tf_idf
2,dxccs,1542,2.3285949496671635e-4,1.0986122886681098,2.5582230270348446e-4
2,r.framework,671,1.0132861292001729e-4,0.4054651081081644,4.108521699206515e-5
2,frameworks,660,9.96674881180498e-5,0.4054651081081644,4.0411688844654254e-5
2,tar.gz,633,9.559018178594776e-5,0.4054651081081644,3.8758483391918396e-5
2,dndebug,585,8.834163719554414e-5,0.4054651081081644,3.581945147594354e-5
2,fpic,528,7.973399049443984e-5,1.0986122886681098,8.759674178173786e-5
2,contrib,499,7.535466147107099e-5,0.4054651081081644,3.055368595982193e-5
2,oauth,453,6.840813957193418e-5,0.4054651081081644,2.773711370701269e-5
2,rinside,432,6.52369013136326e-5,0.4054651081081644,2.6451287243773693e-5
3,montly,420,7.704555960758128e-5,0.4054651081081644,3.123928615554197e-5
1,yards,368,5.112289067717131e-5,0.4054651081081644,2.0728548395221133e-005
2,prccs,360,5.436408442802716e-5,1.0986122886681098,5.9725051214821265e-5
2,progra,357,5.391105039112693e-5,1.0986122886681098,5.922734245469775e-5
2,shlib,346,5.2249925589159436e-5,0.4054651081081644,2.1185521727652076e-5
2,scenariometric,336,5.073981213282535e-5,1.0986122886681098,5.574338113383318e-5
2,scenarioparameter,336,5.073981213282535e-5,1.0986122886681098,5.574338113383318e-5
2,rtools,328,4.953172136775808e-5,0.4054651081081644,2.0083384759161506e-5
1,refstats,327,4.5427133835421245e-5,1.0986122886681098,4.990680747056466e-5
2,emacs,326,4.922969867649126e-5,0.4054651081081644,1.9960925095995886e-5
1,hdisk,313,4.3482241255311465e-5,1.0986122886681098,4.777012458191663e-5
2,protector,304,4.590744907255627e-5,1.0986122886681098,5.043448769251574e-5
2,mtune,301,4.5454415035656046e-5,0.4054651081081644,1.8430179306425652e-5
2,unpacked,293,4.424632427058877e-5,0.4054651081081644,1.7940340653763174e-5
1,dewk,288,4.000921879082972e-5,1.0986122886681098,4.3954619423616586e-5
1,nlad,288,4.000921879082972e-5,1.0986122886681098,4.3954619423616586e-5
2,fstack,287,4.334025619678832e-5,1.0986122886681098,4.7614138051815844e-5
2,laucn,284,4.288722215988809e-5,1.0986122886681098,4.711642929169233e-5
2,rserve,280,4.228317677735446e-5,0.4054651081081644,1.7144352843186652e-5
2,my:t,267,4.0320029284120146e-5,1.0986122886681098,4.4296079650992444e-5
1,ilmn,258,3.584159183345162e-5,0.4054651081081644,1.4532514907519164e-5
2,rprofile,255,3.850789313651924e-5,0.4054651081081644,1.5613607053616415e-5
1,ajp,252,3.5008066441976006e-5,1.0986122886681098,3.846029199566451e-5
2,parametername,247,3.729980237145197e-5,0.4054651081081644,1.512376840095394e-5
2,my:p,241,3.6393734297651514e-5,1.0986122886681098,3.998260372992201e-5
3,shc,241,4.42094758700645e-5,0.4054651081081644,1.792539991306099e-5
2,opencpu,235,3.5487666223851065e-5,0.4054651081081644,1.4389010421960226e-5
2,jre,226,3.412856411315039e-5,0.4054651081081644,1.3837941937714942e-5
2,clang,224,3.382654142188357e-5,0.4054651081081644,1.3715482274549321e-5
2,antwerpen,222,3.352451873061675e-5,1.0986122886681098,3.683044824913978e-5
2,dllpath,218,3.292047334808312e-5,0.4054651081081644,1.3348103285052465e-5
2,authentication,212,3.201440527428266e-5,0.4054651081081644,1.2980724295555608e-5
2,timeout,210,3.171238258301584e-5,0.4054651081081644,1.2858264632389987e-5
2,werror,209,3.156137123738243e-5,1.0986122886681098,3.467371028860457e-5
2,wformat,204,3.080631450921539e-5,1.0986122886681098,3.384419568839872e-5
2,nationalestraat,199,3.005125778104835e-5,1.0986122886681098,3.301468108819287e-5
1,wsnp,198,2.7506337918695434e-5,1.0986122886681098,3.0218800853736403e-5
2,cellar,180,2.718204221401358e-5,1.0986122886681098,2.9862525607410632e-5
3,clstrcolop,180,3.3019525546106264e-5,1.0986122886681098,3.627565653094292e-5
1,nft,174,2.4172236352792957e-5,1.0986122886681098,2.6555915901768354e-5
2,fsc,173,2.6124962794579718e-5,1.0986122886681098,2.8701205167122442e-5
3,dys,166,3.0451340225853553e-5,0.4054651081081644,1.2346955956714206e-5
2,adm.vendas,164,2.476586068387904e-5,1.0986122886681098,2.720807888675191e-5
2,makevars,161,2.4312826646978815e-5,1.0986122886681098,2.6710370126628402e-5
2,charparams,160,2.4161815301345406e-5,1.0986122886681098,2.6544467206587232e-5
3,volcano,160,2.935068937431668e-5,0.4054651081081644,1.1900680440206465e-5
3,deposition,154,2.8250038522779803e-5,0.4054651081081644,1.1454404923698722e-5
3,meuse,154,2.8250038522779803e-5,0.4054651081081644,1.1454404923698722e-5
3,nzp,154,2.8250038522779803e-5,1.0986122886681098,3.1035839476473385e-5
1,firstname,152,2.1115976584049017e-5,0.4054651081081644,8.561791728460903e-6
3,nextline,151,2.7699713097011365e-5,0.4054651081081644,1.123126716544485e-5
1,epwr,150,2.083813478689048e-5,0.4054651081081644,8.449136574139049e-6
2,crispr,146,2.2047656462477684e-5,1.0986122886681098,2.422182632601085e-5
3,tb.pdsi,146,2.678250405406397e-5,1.0986122886681098,2.9423588075098146e-5
2,makefile,145,2.1896645116844274e-5,1.0986122886681098,2.405592340596968e-5
1,discharged,142,1.972676759825632e-5,0.4054651081081644,7.998515956851634e-6
3,weibull,136,2.4948085968169177e-5,0.4054651081081644,1.0115578374175495e-5
2,asxri,135,2.0386531660510187e-5,1.0986122886681098,2.239689420555798e-5
2,pkgname,131,1.978248627797655e-5,1.0986122886681098,2.1733282525393295e-5
2,dhave,128,1.9329452241076324e-5,1.0986122886681098,2.1235573765269785e-5
2,radios,127,1.9178440895442915e-5,1.0986122886681098,2.1069670845228615e-5
1,htc,125,1.7365112322408733e-5,0.4054651081081644,7.040947145115874e-6
2,intercoms,125,1.88764182041761e-5,1.0986122886681098,2.0737865005146275e-5
2,lyx,125,1.88764182041761e-5,1.0986122886681098,2.0737865005146275e-5
3,wcbp,125,2.2930226073684904e-5,1.0986122886681098,2.519142814648814e-5
1,korrelation,123,1.7087270525250192e-5,0.4054651081081644,6.92829199079402e-6
2,motaze,122,1.842338416727587e-5,1.0986122886681098,2.024015624502276e-5
3,nacl,122,2.237990064791647e-5,0.4054651081081644,9.07426883565743e-6
1,mvita,120,1.6670507829512384e-5,1.0986122886681098,1.8314424759840244e-5
3,metoh,120,2.201301703073751e-5,1.0986122886681098,2.418377102062861e-5
2,navbar,117,1.7668327439108828e-5,1.0986122886681098,1.941064164481691e-5
3,onlarkonusurakpartiyapar,117,2.146269160496907e-5,1.0986122886681098,2.3579176745112895e-5
3,orpha,116,2.1279249796379593e-5,1.0986122886681098,2.3377645319940994e-005
1,bpl,115,1.5975903336616035e-5,0.4054651081081644,6.4776713735066045e-6
3,contours,114,2.0912366179200635e-5,0.4054651081081644,8.479234813647106e-6
3,emsp,113,2.0728924370611155e-5,0.4054651081081644,8.404855560895816e-6
2,precbits,110,1.6611248019674965e-5,1.0986122886681098,1.8249321204528718e-5
3,variogram,109,1.999515713625324e-5,0.4054651081081644,8.107338549890654e-6
1,lapsed,108,1.5003457046561146e-5,1.0986122886681098,1.648298228385622e-5
2,iext,106,1.600720263714133e-5,1.0986122886681098,1.758570952436404e-5
1,bkt,105,1.4586694350823336e-5,1.0986122886681098,1.6025121664860214e-5
1,nyali,105,1.4586694350823336e-5,1.0986122886681098,1.6025121664860214e-5
1,modeloutcome,103,1.4308852553664795e-5,1.0986122886681098,1.5719881252196206e-5
2,fit.curve,100,1.5101134563340878e-5,1.0986122886681098,1.6590292004117018e-5
2,input.deadno,100,1.5101134563340878e-5,1.0986122886681098,1.6590292004117018e-5
2,pfs,99,1.495012321770747e-5,1.0986122886681098,1.6424389084075848e-5
2,tiposa,99,1.495012321770747e-5,1.0986122886681098,1.6424389084075848e-5
2,tiposb,99,1.495012321770747e-5,1.0986122886681098,1.6424389084075848e-5
2,vrpairlocation,99,1.495012321770747e-5,1.0986122886681098,1.6424389084075848e-5
2,bibliography,98,1.479911187207406e-5,1.0986122886681098,1.6258486164034678e-5
2,rcppexports.cpp,98,1.479911187207406e-5,1.0986122886681098,1.6258486164034678e-5
1,бч,97,1.3475327162189176e-5,1.0986122886681098,1.4804160014204196e-5
2,api.twitter.com,95,1.4346077835173834e-5,1.0986122886681098,1.5760777403911168e-5
2,ca.utf,95,1.4346077835173834e-5,1.0986122886681098,1.5760777403911168e-5
2,noncrispr,95,1.4346077835173834e-5,1.0986122886681098,1.5760777403911168e-5
2,rpath,95,1.4346077835173834e-5,1.0986122886681098,1.5760777403911168e-5
2,ldflags,94,1.4195066489540426e-5,1.0986122886681098,1.5594874483869998e-5
2,libr.so,94,1.4195066489540426e-5,1.0986122886681098,1.5594874483869998e-5
2,darts,93,1.4044055143907017e-5,1.0986122886681098,1.5428971563828828e-5
2,rhandsontable,93,1.4044055143907017e-5,1.0986122886681098,1.5428971563828828e-5
2,webelem,93,1.4044055143907017e-5,1.0986122886681098,1.5428971563828828e-5
2,rmpi,92,1.3893043798273607e-5,1.0986122886681098,1.5263068643787658e-5
2,config.status,90,1.359102110700679e-5,1.0986122886681098,1.4931262803705316e-5
2,cppflags,90,1.359102110700679e-5,1.0986122886681098,1.4931262803705316e-5
2,muginge,90,1.359102110700679e-5,1.0986122886681098,1.4931262803705316e-5
3,murg,90,1.6509762773053132e-5,1.0986122886681098,1.813782826547146e-5
2,tbrown,89,1.3440009761373383e-5,1.0986122886681098,1.4765359883664148e-5
2,district.name,88,1.3288998415739973e-5,1.0986122886681098,1.4599456963622976e-5
2,tokenizer,88,1.3288998415739973e-5,1.0986122886681098,1.4599456963622976e-5
2,þ,87,1.3137987070106564e-5,1.0986122886681098,1.4433554043581806e-5
2,ppcell,86,1.2986975724473156e-5,1.0986122886681098,1.4267651123540636e-5
3,electrification,86,1.5775995538695217e-5,1.0986122886681098,1.733170256478384e-5
2,ocpu,85,1.2835964378839747e-5,1.0986122886681098,1.4101748203499466e-5
3,imgtype,85,1.5592553730105736e-5,1.0986122886681098,1.7130171139611936e-5
1,t.res,84,1.1669355480658669e-5,1.0986122886681098,1.282009733188817e-5
2,rcppexports.o,84,1.2684953033206337e-5,1.0986122886681098,1.3935845283458294e-5
2,sbin,84,1.2684953033206337e-5,1.0986122886681098,1.3935845283458294e-5
2,trusty,84,1.2684953033206337e-5,1.0986122886681098,1.3935845283458294e-5
1,ssctcf,83,1.1530434582079398e-5,1.0986122886681098,1.2667477125556167e-5
3,pulsed,83,1.5225670112926777e-5,1.0986122886681098,1.6727108289268124e-5
2,blogdown,82,1.238293034193952e-5,1.0986122886681098,1.3604039443375954e-5
2,mysql.h,82,1.238293034193952e-5,1.0986122886681098,1.3604039443375954e-5
1,kukri,81,1.125259278492086e-5,1.0986122886681098,1.2362236712892165e-5
2,mrr,81,1.2231918996306112e-5,1.0986122886681098,1.3438136523334786e-5
2,contribid,80,1.2080907650672703e-5,1.0986122886681098,1.3272233603293616e-5
2,orgname,80,1.2080907650672703e-5,1.0986122886681098,1.3272233603293616e-5
3,storico,80,1.467534468715834e-5,1.0986122886681098,1.612251401375241e-5
2,epel,79,1.1929896305039293e-5,1.0986122886681098,1.3106330683252444e-5
2,callconversionperc,78,1.1778884959405886e-5,1.0986122886681098,1.2940427763211276e-5
2,metricdate,78,1.1778884959405886e-5,1.0986122886681098,1.2940427763211276e-5
2,my:group,78,1.1778884959405886e-5,1.0986122886681098,1.2940427763211276e-5
2,ofa,78,1.1778884959405886e-5,1.0986122886681098,1.2940427763211276e-5
2,pcell,78,1.1778884959405886e-5,1.0986122886681098,1.2940427763211276e-5
1,lr.p,77,1.069690919060378e-5,1.0986122886681098,1.1751755887564155e-5
1,sacks,77,1.069690919060378e-5,1.0986122886681098,1.1751755887564155e-5
2,boxp,77,1.1627873613772476e-5,1.0986122886681098,1.2774524843170104e-5
2,callcounttotal,77,1.1627873613772476e-5,1.0986122886681098,1.2774524843170104e-5
