Neighbors,Misclassification Rate,CV Fold
1,0.5487297085269447,1
1,0.5541608834711242,2
1,0.5580833987085874,3
1,0.5585058234264679,4
1,0.5610101985396174,5
1,0.554311749441796,6
1,0.561432623257498,7
1,0.5519280671051838,8
1,0.5617343551988414,9
1,0.5508418321163479,10
2,0.5495142115744373,1
2,0.5537988051415124,2
2,0.5561221410898558,3
2,0.5555790235954379,4
2,0.5553376380423631,5
2,0.553678112364975,6
2,0.5537082855591093,7
2,0.5476736467322431,8
2,0.5592903264739606,9
2,0.5462555066079295,10
3,0.5380785709975258,1
3,0.5396174038983768,2
3,0.5440830366302577,3
3,0.5404924265282722,4
3,0.5394061915394364,5
3,0.5398587894514513,6
3,0.540009655422123,7
3,0.5329793011888239,8
3,0.5452296180073622,9
3,0.534367268119003,10
4,0.5328586084122866,1
4,0.5315913342586447,2
4,0.5369621628145556,3
4,0.5361776597670629,4
4,0.5373845875324361,5
4,0.5341862289541971,6
4,0.5323758373061372,7
4,0.5299016353871221,8
4,0.5394363647335707,9
4,0.532164624947197,10
5,0.5278196849918533,1
5,0.5280007241566592,2
5,0.5301731941343311,3
5,0.5282421097097338,4
5,0.5329491279946895,5
5,0.5266429304206144,6
5,0.5315611610645103,7
5,0.5239575161426588,8
5,0.5321947981413313,9
5,0.5260696397320621,10
6,0.5234445718423753,1
6,0.5251040975197634,2
6,0.5261903325085994,3
6,0.5242894212781365,4
6,0.5252851366845694,5
6,0.5232937058717035,6
6,0.5254360026552412,7
6,0.5181944360630016,8
6,0.53134994870557,9
6,0.5247721923842859,10
7,0.5203669060406735,1
7,0.5202763864582705,2
7,0.5245911532194798,3
7,0.5185565143926136,4
7,0.5201255204875987,5
7,0.5193711906342405,6
7,0.5215436606119124,7
7,0.5149960774847626,8
7,0.5240480357250619,9
7,0.5217246997767184,10
8,0.5187978999456883,1
8,0.5186470339750167,2
8,0.5209100235350914,3
8,0.5175306257920463,4
8,0.5161728320560015,5
8,0.5133968981956429,6
8,0.5212117554764347,7
8,0.5102287128115383,8
8,0.5222678172711364,9
8,0.5180737432864644,10
9,0.513849496107658,1
9,0.5133968981956429,2
9,0.5170176814917626,3
9,0.5134572445839116,4
9,0.5120391044595981,5
9,0.5108321766942249,6
9,0.5162935248325388,7
9,0.5075432985335828,8
9,0.5168366423269568,9
9,0.5148753847082252,10
10,0.5129141270894937,1
10,0.5090821314344336,2
10,0.512853780701225,3
10,0.5108321766942249,4
10,0.5094743829581799,5
10,0.5103494055880755,6
10,0.512853780701225,7
10,0.5071812202039707,8
10,0.5143624404079417,9
10,0.513487417778046,10
