posted,Total_Ans,Mean_Score,Med_Score,Max_Score
2008-10-01,12,31.583333333333332,5.5,236
2008-11-01,1,2,2,2
2008-12-01,1,2,2,2
2009-01-01,4,5,5.5,9
2009-02-01,8,7,6.5,19
2009-03-01,9,21.11111111111111,5,145
2009-04-01,23,24.26086956521739,7,151
2009-05-01,14,11.428571428571429,6.5,47
2009-06-01,12,14.75,2.5,111
2009-07-01,19,9.526315789473685,4,52
2009-08-01,170,19.05294117647059,6,347
2009-09-01,272,19.470588235294116,4,1260
2009-10-01,230,11.665217391304347,4,307
2009-11-01,144,14.5625,5,312
2009-12-01,214,15.41588785046729,4,420
2010-01-01,145,10.951724137931034,3,321
2010-02-01,218,14.591743119266056,4,366
2010-03-01,258,10.910852713178295,4,224
2010-04-01,302,12.880794701986755,4,408
2010-05-01,291,8.175257731958762,3,107
2010-06-01,253,11.786561264822135,4,378
2010-07-01,411,6.8345498783454985,3,135
2010-08-01,552,8.766304347826088,3,460
2010-09-01,466,8.484978540772532,3,376
2010-10-01,523,8.508604206500957,3,311
2010-11-01,475,6.178947368421053,3,164
2010-12-01,562,9.861209964412812,3,414
2011-01-01,367,8.370572207084468,3,623
2011-02-01,663,9.444947209653092,3,675
2011-03-01,729,7.746227709190672,3,233
2011-04-01,855,7.680701754385965,3,302
2011-05-01,771,11.17509727626459,4,1171
2011-06-01,820,8.454878048780488,4,395
2011-07-01,854,7.426229508196721,4,227
2011-08-01,888,8.344594594594595,4,405
2011-09-01,1037,8.076181292189007,3,1095
2011-10-01,1121,7.733273862622658,3,183
2011-11-01,1208,5.918046357615894,3,179
2011-12-01,1199,7.4804003336113425,3,501
2012-01-01,883,6.189127972819932,3,188
2012-02-01,1255,6.059760956175299,3,196
2012-03-01,1403,6.188168210976479,3,281
2012-04-01,1267,6.31965272296764,3,313
2012-05-01,1333,6.132033008252063,3,135
2012-06-01,1343,6.473566641846612,3,387
2012-07-01,1559,5.725465041693393,3,287
2012-08-01,1696,5.978183962264151,3,240
2012-09-01,1560,5.921794871794872,3,325
2012-10-01,1673,5.065152420800956,3,189
2012-11-01,1872,5.342948717948718,3,151
2012-12-01,1985,4.903274559193955,2,185
2013-01-01,1827,4.859879584017515,3,98
2013-02-01,2426,5.038334707337181,2,184
2013-03-01,2750,5.138909090909091,2,838
2013-04-01,2533,4.319778918278721,2,158
2013-05-01,2579,4.390849166343544,2,375
2013-06-01,2271,3.4614707177454864,2,133
2013-07-01,2765,3.835081374321881,2,277
2013-08-01,2671,3.4739797828528642,2,141
2013-09-01,2237,3.6204738489047834,2,413
2013-10-01,2554,3.370790916209867,2,323
2013-11-01,2751,3.1214103962195567,2,122
2013-12-01,3018,2.872100728959576,1,102
2014-01-01,2610,3.046360153256705,2,232
2014-02-01,3335,2.8620689655172415,2,115
2014-03-01,3466,2.7290825158684364,1,109
2014-04-01,3726,2.2801932367149758,1,88
2014-05-01,3515,2.511522048364154,1,164
2014-06-01,3142,2.7081476766390833,1,177
2014-07-01,3232,2.597462871287129,1,183
2014-08-01,3460,2.327456647398844,1,107
2014-09-01,3038,2.622448979591837,1,308
2014-10-01,3462,2.516464471403813,1,105
2014-11-01,3358,2.51697438951757,1,145
2014-12-01,3750,2.4549333333333334,1,94
2015-01-01,2736,3.046783625730994,2,296
2015-02-01,3538,2.3312605992085924,1,91
2015-03-01,4215,2.0934756820877816,1,134
2015-04-01,3917,2.3293336737298955,1,82
2015-05-01,4454,2.6189941625505164,2,404
2015-06-01,4048,2.260869565217391,1,61
2015-07-01,4901,2.2652519893899203,1,171
2015-08-01,4495,2.2238042269187988,1,203
2015-09-01,3976,1.9831488933601609,1,48
2015-10-01,4391,1.9735823274880437,1,64
2015-11-01,4109,1.8844000973472865,1,45
2015-12-01,4260,1.8401408450704226,1,47
2016-01-01,3574,2.1426972579742585,1,95
2016-02-01,3983,1.7958825006276675,1,56
2016-03-01,4550,1.7953846153846154,1,112
2016-04-01,4562,1.6534414730381413,1,95
2016-05-01,4720,1.6379237288135593,1,76
2016-06-01,4661,1.7228062647500537,1,27
2016-07-01,4695,1.4519701810436634,1,34
2016-08-01,4759,1.4992645513763396,1,54
2016-09-01,3866,1.5969994826694258,1,30
2016-10-01,4184,1.3436902485659656,1,45
2016-11-01,4294,1.278528178854215,1,31
2016-12-01,4283,1.3196357693205696,1,41
2017-01-01,3479,1.4147743604484047,1,98
2017-02-01,4246,1.2072538860103628,1,32
2017-03-01,4673,1.1264712176332121,1,34
2017-04-01,4893,1.1778050275904353,1,24
2017-05-01,5002,1.1399440223910435,1,25
2017-06-01,5097,0.9666470472827153,1,25
2017-07-01,5114,1.0299178725068439,1,25
2017-08-01,5876,1.036929884275017,1,15
2017-09-01,5308,1.1348907309721175,1,16
2017-10-01,1523,0.9061063690085358,1,8
