posted,Total_Ans,Mean_Score,Med_Score,Max_Score
2008-10-01,4,58.5,30,171
2008-11-01,1,4,4,4
2008-12-01,1,4,4,4
2009-01-01,2,17.5,17.5,23
2009-02-01,6,7,4,20
2009-03-01,6,31.333333333333332,7,159
2009-04-01,10,45.1,26.5,125
2009-05-01,5,10.4,4,39
2009-06-01,4,26,21.5,58
2009-07-01,13,11.23076923076923,6,41
2009-08-01,53,46.509433962264154,11,378
2009-09-01,109,38.440366972477065,6,956
2009-10-01,88,15.125,6,272
2009-11-01,61,22.327868852459016,7,391
2009-12-01,101,17.445544554455445,4,428
2010-01-01,64,15.703125,2,263
2010-02-01,99,19.373737373737374,5,269
2010-03-01,130,13.623076923076923,5,194
2010-04-01,152,17.375,5,391
2010-05-01,147,9.82312925170068,3,134
2010-06-01,132,13.507575757575758,5,229
2010-07-01,203,9.019704433497537,3,130
2010-08-01,278,11.942446043165468,3,377
2010-09-01,226,13.991150442477876,3,810
2010-10-01,225,9.568888888888889,4,183
2010-11-01,214,8.219626168224298,4,165
2010-12-01,267,11.55430711610487,4,326
2011-01-01,171,9.43859649122807,4,549
2011-02-01,288,11.291666666666666,4,508
2011-03-01,378,9.161375661375661,3,192
2011-04-01,439,9.022779043280183,3,374
2011-05-01,415,13.330120481927711,3,1973
2011-06-01,414,8.79951690821256,3,235
2011-07-01,475,7.406315789473684,3,159
2011-08-01,468,9.149572649572649,4,332
2011-09-01,560,8.198214285714286,3,290
2011-10-01,607,7.485996705107084,3,168
2011-11-01,628,6.278662420382165,3,162
2011-12-01,672,6.872023809523809,3,410
2012-01-01,496,5.977822580645161,3,115
2012-02-01,759,5.329380764163373,2,135
2012-03-01,877,5.880273660205245,2,176
2012-04-01,804,6.031094527363184,2,313
2012-05-01,854,5.256440281030445,2,123
2012-06-01,864,6.138888888888889,2,284
2012-07-01,1007,4.772591857000993,2,244
2012-08-01,1089,4.894398530762167,2,152
2012-09-01,1033,4.512100677637948,2,165
2012-10-01,1075,4.4474418604651165,2,552
2012-11-01,1201,4.378850957535387,2,114
2012-12-01,1347,4.237564959168522,2,170
2013-01-01,1111,4.387038703870387,2,213
2013-02-01,1502,4.012649800266312,2,138
2013-03-01,1687,3.969768820391227,2,321
2013-04-01,1644,3.506082725060827,2,104
2013-05-01,1795,3.199442896935933,1,106
2013-06-01,1639,2.713239780353874,1,85
2013-07-01,1814,2.9018743109151046,1,95
2013-08-01,1875,2.5434666666666668,1,59
2013-09-01,1594,2.496863237139272,1,274
2013-10-01,1806,2.4629014396456257,1,335
2013-11-01,2007,2.25361235675137,1,40
2013-12-01,2140,2.2710280373831777,1,102
2014-01-01,1754,2.3209806157354618,1,109
2014-02-01,2392,2.3683110367892977,1,452
2014-03-01,2663,1.8310176492677432,1,83
2014-04-01,2808,1.6292735042735043,1,69
2014-05-01,2586,1.6423047177107502,1,109
2014-06-01,2194,1.630355515041021,1,59
2014-07-01,2372,1.720910623946037,1,69
2014-08-01,2530,1.4944664031620554,1,62
2014-09-01,2191,1.680967594705614,1,302
2014-10-01,2563,1.5056574326960592,1,50
2014-11-01,2549,1.463318948607297,1,48
2014-12-01,2737,1.3967848008768724,1,63
2015-01-01,1967,1.8037620742247076,1,53
2015-02-01,2738,1.420745069393718,1,75
2015-03-01,3281,1.2026821091130753,1,103
2015-04-01,3136,1.442920918367347,1,68
2015-05-01,3342,1.8174745661280671,1,41
2015-06-01,3131,1.719897796231236,1,64
2015-07-01,3671,1.4685371833287932,1,35
2015-08-01,3518,1.4326321773735076,1,71
2015-09-01,3172,1.2329760403530896,1,29
2015-10-01,3440,1.080813953488372,1,22
2015-11-01,3419,1.078385492834162,1,24
2015-12-01,3467,1.1090279780790309,1,40
2016-01-01,2761,1.4096341905106846,1,71
2016-02-01,3341,1.0550733313379228,1,38
2016-03-01,3740,0.925668449197861,1,50
2016-04-01,3772,0.8523329798515377,0,45
2016-05-01,3751,0.8869634764062917,0,41
2016-06-01,3482,1.0152211372774267,1,30
2016-07-01,3560,0.8654494382022472,1,30
2016-08-01,3665,0.7607094133697135,0,17
2016-09-01,3021,0.9043363124793115,0,62
2016-10-01,3469,0.6958777745748054,0,16
2016-11-01,3780,0.6116402116402117,0,21
2016-12-01,3851,0.6117891456764477,0,80
2017-01-01,2849,0.7441207441207441,0,18
2017-02-01,3666,0.6873977086743044,0,27
2017-03-01,4292,0.5589468779123952,0,36
2017-04-01,4558,0.5631856077226853,0,24
2017-05-01,4490,0.6033407572383074,0,23
2017-06-01,4520,0.48960176991150445,0,12
2017-07-01,4633,0.5724152816749406,0,37
2017-08-01,5149,0.538551174985434,0,30
2017-09-01,4503,0.5509660226515656,0,18
2017-10-01,1320,0.4666666666666667,0,10
